time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	2.35409e-314	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.46014	0.246045	-0.00256944	0.00323479	0.0025106	lidar	0.0098031	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.46432	0.244836	-0.00188615	0.0010531	0.000592077	radar	0.123761	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.46267	0.246742	-0.00382501	0.00349626	0.00228517	lidar	0.00550481	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.35962	0.241358	-0.858621	-0.00475293	-0.0055952	radar	20.5766	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.30047	0.243399	-0.879297	-0.000713222	-0.00246337	lidar	0.199463	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.07532	0.238149	-2.18261	-0.0118273	-0.00944979	radar	53.8525	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.94633	0.233264	-2.21795	-0.0151083	-0.00783776	lidar	0.851339	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.76895	0.233386	-2.65732	-0.0133364	-0.00226367	radar	7.03495	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.62095	0.229994	-2.68302	-0.00755188	0.00731151	lidar	0.583793	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.51915	0.225567	-2.3566	0.000418448	0.016503	radar	4.01997	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.38132	0.202386	-2.3656	0.0422758	0.0618297	lidar	1.50722	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.22356	0.183404	-2.56499	0.066133	0.0837439	radar	2.00792	7.20598	0.00492725	7.2	9.49949e-007	-2.72851	-0.909507
1477010444079717	7.07809	0.12551	-2.57281	0.144256	0.151204	lidar	1.83809	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	6.98084	0.0535429	-2.22292	0.231373	0.216549	radar	6.17332	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.86018	-0.0517336	-2.24904	0.338698	0.294583	lidar	2.61595	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.75355	-0.132878	-2.2579	0.403692	0.334058	radar	1.46629	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.64827	-0.255259	-2.31302	0.50229	0.396314	lidar	2.62404	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.60852	-0.389353	-1.94879	0.628972	0.482192	radar	9.2784	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.53343	-0.499585	-1.99938	0.701213	0.517001	lidar	1.4017	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.49479	-0.643414	-1.736	0.825159	0.597967	radar	8.91222	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.42945	-0.798617	-1.86035	0.92351	0.643871	lidar	3.85081	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.34613	-0.911027	-2.04631	0.959684	0.634397	radar	3.17287	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.27238	-1.06664	-2.17747	1.031	0.659706	lidar	2.02662	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.32004	-1.31473	-1.84567	1.2877	0.905395	radar	49.7718	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.29789	-1.47274	-1.9752	1.36905	0.927737	lidar	2.19299	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.26573	-1.57569	-2.00773	1.39519	0.892466	radar	2.96408	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.24152	-1.7424	-2.18477	1.45764	0.902357	lidar	2.55481	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.25994	-1.97595	-2.5457	1.60133	1.03704	radar	14.2746	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.27572	-2.13304	-2.61818	1.66373	1.04362	lidar	0.883614	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.27901	-2.25838	-2.51318	1.6966	1.00361	radar	1.59583	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.3032	-2.43051	-2.60317	1.7537	1.00118	lidar	0.946996	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.34507	-2.61271	-2.78801	1.82421	1.02601	radar	1.33339	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.3923	-2.77797	-2.83205	1.88151	1.02471	lidar	0.318366	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.41634	-2.88217	-2.60812	1.91033	0.985951	radar	2.64529	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.45306	-3.03872	-2.68602	1.94504	0.968419	lidar	0.728359	6.44119	-3.14955	6.45	-3.15	0	-2.99754
